ID,first_name,last_name,player_id
269,Collin,Gillespie,1631221
270,Oso,Ighodaro,1642345
271,Ryan,Dunn,1642346
272,Rasheer,Fleming,1642853
273,Khaman,Maluach,1642863
274,Koby,Brea,1642886
275,CJ,Huntley,1643047
276,Jaylen,Brown,1627759
277,Jayson,Tatum,1628369
278,Derrick,White,1628401
279,Donte,DiVincenzo,1628978
280,Charles,Bassey,1629646
281,Neemias,Queta,1629674
282,Naz,Reid,1629675
283,Jaden,McDaniels,1630183
284,Payton,Pritchard,1630202
285,Ayo,Dosunmu,1630245
286,Bones,Hyland,1630538
287,Terrence,Shannon Jr.,1630545
288,Luka,Garza,1630568
289,Sam,Hauser,1630573
290,Ron,Harper Jr.,1631199
291,Baylor,Scheierman,1631248
292,Jaylen,Clark,1641740
293,Julian,Phillips,1641763
294,Jordan,Walsh,1641775
295,Zyon,Pullin,1642389
296,Hugo,Gonzalez,1642864
297,Joan,Beringer,1642866
298,Amari,Williams,1642873
299,Max,Shulga,1642917
300,Mike,Conley,201144
301,Rudy,Gobert,203497
302,Kyle,Anderson,203937
303,Julius,Randle,203944
304,Joe,Ingles,204060
305,Karl-Anthony,Towns,1626157
306,OG,Anunoby,1628384
307,Josh,Hart,1628404
308,Mikal,Bridges,1628969
309,Jalen,Brunson,1628973
310,Mitchell,Robinson,1629011
311,Anthony,Gill,1630264
312,Sharife,Cooper,1630536
313,Justin,Champagnie,1630551
314,Ariel,Hukporti,1630574
315,Jose,Alvarado,1630631
316,Jaden,Hardy,1630702
317,Jeremy,Sochan,1631110
318,Bilal,Coulibaly,1641731
319,Tristan,Vukcevic,1641774
320,Leaky,Black,1641778
321,Dillon,Jones,1641794
322,Trey,Jemison III,1641998
323,Alex,Sarr,1642259
324,Bub,Carrington,1642267
325,Tyler,Kolek,1642278
326,Pacome,Dadiet,1642359
327,Jamir,Watkins,1642364
328,Tre,Johnson,1642848
329,Will,Riley,1642860
330,Mohamed,Diawara,1642885
331,Jordan,Clarkson,203903
332,Malik,Monk,1628370
333,Drew,Eubanks,1629234
334,Terance,Mann,1629611
335,Killian,Hayes,1630165
336,Precious,Achiuwa,1630173
337,Keegan,Murray,1631099
338,Patrick,Baldwin Jr.,1631116
339,Devin,Carter,1642269
340,Nique,Clifford,1642363
341,Maxime,Raynaud,1642875
342,Dylan,Cardwell,1642928
343,Drake,Powell,1642962
344,DeMar,DeRozan,201942
345,Doug,McDermott,203926
346,Tyus,Jones,1626145
347,Jamal,Murray,1627750
348,Bruce,Brown,1628971
349,Jalen,Pickett,1629618
350,Cameron,Johnson,1629661
351,Zeke,Nnaji,1630192
352,Julian,Strawther,1631124
353,Christian,Braun,1631128
354,Peyton,Watson,1631212
355,DaRon,Holmes II,1641747
356,Spencer,Jones,1642461
357,Jayson,Kent,1643257
358,Jonas,Valanciunas,202685
359,Damian,Lillard,203081
360,Tim,Hardaway Jr.,203501
361,Aaron,Gordon,203932
362,Nikola,Jokic,203999
363,Kyle,Kuzma,1628398
364,Cam,Thomas,1630560
365,Cormac,Ryan,1642504
366,Kelly,Oubre Jr.,1626162
367,Lauri,Markkanen,1628374
368,Jaren,Jackson Jr.,1628991
369,Quentin,Grimes,1629656
370,Tyrese,Maxey,1630178
371,Walker,Kessler,1631117
372,Keyonte,George,1641718
373,Johni,Broome,1641780
374,Blake,Hinson,1642396
375,Paul,George,202331
376,Joel,Embiid,203954
377,Jusuf,Nurkic,203994
378,John,Collins,1628381
379,Caleb,Martin,1628997
380,Nate,Williams,1631466
381,Pat,Connaughton,1626192
382,Miles,Bridges,1628970
383,Coby,White,1629632
384,Grant,Williams,1629684
385,LaMelo,Ball,1630163
386,Josh,Green,1630182
387,Xavier,Tillman,1630214
388,Tre,Mann,1630544
389,Moussa,Diabate,1631217
390,Brandon,Miller,1641706
391,Ryan,Kalkbrenner,1641750
392,Kon,Knueppel,1642851
393,Sion,James,1642883
394,Javon,Small,1642914
395,Rui,Hachimura,1629060
396,Jalen,Suggs,1630591
397,Marcus,Smart,203935
398,Kevon,Looney,1626172
399,Larry,Nance Jr.,1626204
400,Dejounte,Murray,1627749
401,Donovan,Mitchell,1628378
402,Thomas,Bryant,1628418
403,Max,Strus,1629622
404,Zion,Williamson,1629627
405,Jordan,Poole,1629673
406,Dean,Wade,1629731
407,Saddiq,Bey,1630180
408,Sam,Merrill,1630241
409,Herbert,Jones,1630529
410,Trey,Murphy III,1630530
411,Evan,Mobley,1630596
412,Keon,Ellis,1631165
413,Karlo,Matkovic,1631255
414,Jordan,Hawkins,1641722
415,Nae'Qwan,Tomlin,1641772
416,Yves,Missi,1642274
417,Riley,Minix,1642434
418,Jeremiah,Fears,1642847
419,Derik,Queen,1642852
420,Micah,Peavy,1642877
421,DeAndre,Jordan,201599
422,James,Harden,201935
423,Dennis,Schroder,203471
424,Trae,Young,1629027
425,Jalen,Johnson,1630552
426,Landry,Shamet,1629013
427,Daeqwon,Plowden,1631342
428,Russell,Westbrook,201566
429,Andersson,Garcia,1643158
430,Gary,Harris,203914
431,Jaylon,Tyson,1642281
432,Tristan,Enaruna,1642400
433,Norchad,Omier,1641807
434,Amir,Coffey,1629599
435,Marcus,Sasser,1631204
436,David,Roddy,1631223
437,Cedric,Coward,1642907
438,Yuki,Kawamura,1642530
439,Noah,Clowney,1641730
440,Payton,Sandfort,1642362
441,Ivica,Zubac,1627826
442,Jalen,Slawson,1641771
443,Taelon,Peter,1643007
444,Kevin,Porter Jr.,1629645
445,Haywood,Highsmith,1629312
446,Rocco,Zikarsky,1642911
447,Kevin,McCullar Jr.,1641755
448,Jahmir,Young,1642443
449,Vladislav,Goldin,1642884
450,Cade,Cunningham,1630595
451,Bennedict,Mathurin,1631097
452,Jahmai,Mashack,1642942
453,Brandon,Williams,1630314
454,Grayson,Allen,1628960
455,Asa,Newell,1642854
456,Julian,Reese,1642882
457,Al,Horford,201143
458,Olivier,Sarr,1630846
459,A.J.,Lawson,1630639
460,Alijah,Martin,1642918
461,Giannis,Antetokounmpo,203507
462,Anthony,Edwards,1630162
463,Trevor,Keels,1631211
464,John,Tonje,1642910
465,Harrison,Ingram,1631127
466,Tosan,Evbuomwan,1641787
467,RayJ,Dennis,1642484
468,Seth,Curry,203552
469,Tristen,Newton,1641803
470,Isaiah,Stewart,1630191
471,Bobi,Klintman,1641752
472,Isaac,Jones,1642403
473,Craig,Porter Jr.,1641854
474,Ethan,Thompson,1630679
475,Jonathan,Isaac,1628371
476,Mo,Bamba,1628964
477,Michael,Porter Jr.,1629008
478,Kyshawn,George,1642273
479,Day'Ron,Sharpe,1630549
480,Nikola,Topic,1642260
481,Tyrese,Haliburton,1630169
482,Caleb,Love,1631126
483,Johnny,Furphy,1642277
484,Isaiah,Stevens,1641815
485,Bryce,McGowens,1631121
486,Scotty,Pippen Jr.,1630590
487,Grant,Nelson,1641761
488,Anthony,Black,1641710
489,Chris,Manon,1643024
490,Moussa,Cisse,1630619
491,Nikola,Vucevic,202696
492,Mac,McClung,1630644
493,Yanic Konan,Niederhauser,1642949
494,Antonio,Reeves,1641810
495,Mark,Williams,1631109
496,Santi,Aldama,1630583
497,Tidjane,Salaun,1642275
498,Jarrett,Allen,1628386
499,Tyrese,Proctor,1642878
500,KJ,Simpson,1642354
501,Buddy,Boeheim,1631205
502,Dereck,Lively II,1641726
503,Thomas,Sorber,1642850
504,Miles,Kelly,1642939
505,Kyrie,Irving,202681
506,Javonte,Cooke,1631451
507,Darius,Brown,1642468
508,Dalano,Banton,1630625
509,Egor,Demin,1642856
510,JD,Davison,1631120
511,Alondes,Williams,1631214
512,Vince,Williams Jr.,1631246
513,PJ,Hall,1641790
514,Anfernee,Simons,1629014
515,Stanley,Umude,1630649
516,Dillon,Brooks,1628415
517,Enrique,Freeman,1642402
518,Kadary,Richmond,1642955
519,Lawson,Lovering,1643133
520,Jaden,Ivey,1631093
521,Domantas,Sabonis,1627734
522,De'Andre,Hunter,1629631
523,Kentavious,Caldwell-Pope,203484
524,Keshon,Gilbert,1642933
525,Franz,Wagner,1630532
526,Nick,Smith Jr.,1641733
527,Zach,LaVine,203897
528,Johnny,Juzang,1630548
529,Wendell,Moore Jr.,1631111
530,Skal,Labissiere,1627746
531,Cole,Anthony,1630175
532,Hunter,Tyson,1641816
533,Nigel,Hayes-Davis,1628502
534,Eric,Gordon,201569
535,Chris,Boucher,1628449
536,Terry,Rozier,1626179
537,Duop,Reath,1641871
538,Nikola,Äurisic,1642365
539,N'Faly,Dante,1642368
540,Malaki,Branham,1631103
541,Orlando,Robinson,1631115
542,David,Jones Garcia,1642357
543,Lonzo,Ball,1628366
544,D'Angelo,Russell,1626156
545,Emanuel,Miller,1641801
546,Stephen,Curry,201939
547,Jimmy,Butler III,202710
548,Georges,Niang,1627777
549,Dario,Saric,203967
550,Liam,McNeeley,1642862
551,Tony,Bradley,1628396
552,Miles,McBride,1630540
553,Jeremiah,Robinson-Earl,1630526
554,Curtis,Jones,1642938
555,Ja,Morant,1629630
556,Steven,Adams,203500
557,Trey,Alexander,1641725
558,Anthony,Davis,203076
559,Zach,Collins,1628380
560,Noa,Essengue,1642855
561,Malik,Williams,1642013
562,Garrison,Mathews,1629726
563,James,Wiseman,1630164
564,Hunter,Sallis,1642282
565,Zach,Edey,1641744
566,Luke,Travers,1631247
567,Cam,Whitmore,1641715
568,Mark,Sears,1641813
569,Gabe,McGlothan,1642440
570,Kyle,Mangas,1630667
571,Drew,Peterson,1641809
572,Chris,Livingston,1641753
573,Chucky,Hepburn,1642935
574,Trentyn,Flowers,1642280
575,Jahmyl,Telfort,1643141
576,Hunter,Dickinson,1630621
577,Chris,Paul,101108
578,Jacob,Toppin,1631210
579,Tamar,Bates,1642926
580,Jackson,Rowe,1642050
581,Monte,Morris,1628420
582,Cody,Martin,1628998
583,Colby,Jones,1641732
584,Bradley,Beal,203078
585,Fred,VanVleet,1627832
586,Kevon,Harris,1630284
587,Dante,Exum,203957
588,Jaden,Springer,1630531
589,Terence,Davis,1629056
590,Anton,Watson,1641817
591,R.J.,Davis,1642930
592,Jason,Preston,1630554
593,Nate,Hinton,1630207
594,Braxton,Key,1630296
595,Dain,Dainja,1643120
596,Moses,Brown,1629650
597,Kessler,Edwards,1630556
598,Zack,Austin,1643113
599,Matt,Ryan,1630346
600,Eric,Dixon,1642915
601,Alex,Len,203458
602,Alize,Johnson,1628993
603,Malcolm,Hill,1630792
604,Jules,Bernard,1631262
605,Saint,Thomas,1643148
606,Pedro,Bradshaw,1630817
607,Sean,East II,1642398
608,Eli John,Ndiaye,1642947
609,Lamont,Butler,1642966
610,Cameron,Matthews,1643069
611,Javonte,Smart,1630606
612,Phillip,Wheeler,1630762
613,Lester,Quinones,1631311
614,Reece,Beekman,1641736
615,Christian,Shumate,1643104
616,Dawson,Garcia,1630615
617,Charles,Bediako,1641777
618,Brice,Williams,1642924
619,Dennis,Smith Jr.,1628372
620,Augustas,Marciulionis,1643051
621,Kendall,Brown,1631112
622,Jared,Rhoden,1631197
623,Jalen,Bridges,1641779
624,Ulrich,Chomche,1642279
625,Charlie,Brown Jr.,1629718
626,Spencer,Dinwiddie,203915
627,Marques,Bolden,1629716
628,Taevion,Kinsey,1641795
629,Alex,Toohey,1642893
630,Jared,Butler,1630215
631,David,Duke Jr.,1630561
632,Damion,Baugh,1641878
633,Tyrese,Samuel,1642487
634,James,Akinjo,1631231
635,Max,Abmas,1630546
636,Cameron,McGriff,1630787
637,Malcolm,Brogdon,1627763
638,MJ,Walker,1630640
639,Gabe,Madsen,1643019
640,Deivon,Smith,1643090
641,Miller,Kopp,1642046
642,RJ,Luis Jr.,1642961
643,Mouhamadou,Gueye,1631338
644,Jalen,Crutcher,1630622
645,Zeng,Fanbo,1630855
646,Dariq,Whitehead,1641727
647,Jazian,Gortman,1641789
648,Adam,Flagler,1641745
649,Emoni,Bates,1641734
650,Ibou,Badji,1630641
